,rank,number,name,location
0,1,5728,Massachusetts Institute of Technology,Cambridge
1,2,5720,Harvard University,Cambridge
2,3,5135,Stanford University,Stanford
3,4,6077,Cornell University,Ithaca
4,5,5143,"University of California, Berkeley",Berkeley
5,6,6835,University of Washington,Seattle
6,7,5821,University of Michigan,Ann Arbor
7,8,6075,Columbia University in the City of New York,New York City
8,9,5233,Yale University,New Haven
9,10,6506,University of Pennsylvania,Philadelphia
10,11,5147,"University of California, Los Angeles",Los Angeles
11,12,5863,University of Minnesota-Twin Cities,Minneapolis
12,13,6888,University of Wisconsin-Madison,Madison
13,14,6721,The University of Texas at Austin,Austin
14,15,6015,Princeton University,Princeton
15,16,5470,University of Chicago,Chicago
16,17,5669,Johns Hopkins University,Baltimore
17,18,5510,Purdue University,West Lafayette
18,19,5151,"University of California, San Diego",San Diego
19,20,5809,Michigan State University,East Lansing
20,27,6474,Penn State University,University Park
21,21,6122,New York University,New York City
22,22,5144,"University of California, Davis",Davis
23,23,6247,University of North Carolina at Chapel Hill,Chapel Hill
24,24,5160,University of Southern California,Los Angeles
25,25,6422,Carnegie Mellon University,Pittsburgh
26,26,5297,University of Florida,Gainesville
27,28,6210,Duke University,Durham
28,29,6020,"Rutgers, The State University of New Jersey",New Brunswick
29,30,4964,Arizona State University,Tempe
30,31,4975,The University of Arizona,Tucson
31,32,5474,University of Illinois at Urbana-Champaign,Champaign
32,33,5687,University of Maryland,College Park
33,34,6684,Texas A&amp;M University,College Station
34,35,6802,University of Virginia,Charlottesville
35,36,5442,Northwestern University,Evanston
36,37,5146,"University of California, Irvine",Irvine
37,38,5197,University of Colorado Boulder,Boulder
38,39,6322,The Ohio State University,Columbus
39,40,5703,Boston University,Boston
40,41,6235,North Carolina State University,Raleigh
41,42,5500,Indiana University Bloomington,Bloomington
42,43,5752,Tufts University,Medford
43,44,6507,University of Pittsburgh,Pittsburgh
44,45,6737,The University of Utah,Salt Lake City
45,46,5153,"University of California, Santa Barbara",Santa Barbara
46,47,5243,Georgetown University,Washington
47,48,6808,Virginia Polytechnic Institute and State University,Blacksburg
48,49,5973,University of Nebraska-Lincoln,Lincoln
49,50,5941,Washington University in St. Louis,St. Louis
50,51,5020,California Institute of Technology,Pasadena
51,52,5329,Georgia Institute of Technology,Atlanta
52,53,5358,University of Georgia,Athens
53,54,6191,University of Rochester,Rochester
54,55,6394,Oregon State University,Corvallis
55,56,6524,Brown University,Providence
56,57,5557,University of Iowa,Iowa City
57,58,6732,Brigham Young University,Provo
58,59,5542,Iowa State University,Ames
59,60,5755,University of Massachusetts Amherst,Amherst
60,61,5177,Colorado State University,Fort Collins
61,62,5301,University of South Florida,Tampa
62,63,5242,George Washington University,Washington
63,64,6776,George Mason University,Fairfax
64,65,6837,Washington State University,Pullman
65,66,6181,Syracuse University,Syracuse
66,67,6636,Vanderbilt University,Nashville
67,68,5273,Florida State University,Tallahassee
68,69,5152,"University of California, San Francisco",San Francisco
69,70,5524,University of Notre Dame,Notre Dame
70,71,6402,University of Oregon,Eugene
71,72,5987,Dartmouth College,Hanover
72,73,6177,"University at Buffalo, State University of New York",Buffalo
73,74,6668,William Marsh Rice University,Houston
74,75,5325,Emory University,Atlanta
75,76,5154,"University of California, Santa Cruz",Santa Cruz
76,77,5612,University of Kentucky,Lexington
77,78,5150,"University of California, Riverside",Riverside
78,79,5472,University of Illinois at Chicago,Chicago
79,80,6704,University of Houston,Houston
80,81,5223,University of Connecticut,Storrs
81,82,5237,University of Delaware,Newark
82,83,5333,Georgia State University,Atlanta
83,84,5936,University of Missouri,Columbia
84,85,5584,University of Kansas,Lawrence
85,86,6631,"The University of Tennessee, Knoxville",Knoxville
86,87,5740,Northeastern University,Boston
87,88,5296,University of Central Florida,Orlando
88,89,6039,University of New Mexico,Albuquerque
89,90,5298,University of Miami,Coral Gables
90,91,6562,University of South Carolina,Columbia
91,92,6709,University of North Texas,Denton
92,93,5621,Louisiana State University,Baton Rouge
93,94,5702,Boston College,Chestnut Hill
94,95,6085,Fordham University,The Bronx
95,96,6134,Rochester Institute of Technology,Rochester
96,97,6499,Temple University,Philadelphia
97,98,6759,University of Vermont,Burlington
98,99,5266,Florida International University,Miami
99,100,5114,San Diego State University,San Diego
100,101,6540,Clemson University,Clemson
101,102,6431,Drexel University,Philadelphia
102,103,5999,University of New Hampshire,Durham
103,104,6342,University of Cincinnati,Cincinnati
104,105,6375,The University of Oklahoma,Norman
105,106,5240,American University,Washington
106,107,4950,The University of Alabama,Tuscaloosa
107,108,6280,Case Western Reserve University,Cleveland
108,109,6632,The University of Tennessee at Martin,Martin
109,110,6804,Virginia Commonwealth University,Richmond
110,111,6738,Utah State University,Logan
111,112,6366,Oklahoma State University,Stillwater
112,113,4927,Auburn University,Auburn
113,114,6132,Rensselaer Polytechnic Institute,Troy
114,115,6859,West Virginia University,Morgantown
115,116,5825,Wayne State University,Detroit
116,117,6398,Portland State University,Portland
117,118,5633,Tulane University,New Orleans
118,119,4990,University of Arkansas,Fayetteville
119,120,4948,University of Alabama at Birmingham,Birmingham
120,121,5118,San Francisco State University,San Francisco
121,122,6646,Baylor University,Waco
122,123,5683,"University of Maryland, Baltimore County",Baltimore
123,124,6175,"University at Albany, State University of New York",Albany
124,125,5704,Brandeis University,Waltham
125,126,6672,Southern Methodist University,Dallas
126,127,5121,San Jos&eacute; State University,San Jose
127,128,6298,Kent State University,Kent
128,129,6889,University of Wisconsin-Milwaukee,Milwaukee
129,130,5876,Mississippi State University,Mississippi State
130,131,6180,Stony Brook University,Stony Brook
131,132,5981,"University of Nevada, Reno",Reno
132,133,6696,Texas Tech University,Lubbock
133,134,5262,Florida Atlantic University,Boca Raton
134,135,6248,University of North Carolina at Charlotte,Charlotte
135,136,5810,Michigan Technological University,Houghton
136,137,5040,"California State University, Northridge",Northridge
137,138,5504,Indiana University - Purdue University Indianapolis,Indianapolis
138,139,6875,Marquette University,Milwaukee
139,140,5441,Northern Illinois University,DeKalb
140,141,6770,College of William &amp; Mary,Williamsburg
141,142,6035,New Mexico State University,Las Cruces
142,143,5572,Kansas State University,Manhattan
143,144,5200,University of Denver,Denver
144,145,6782,Liberty University,Lynchburg
145,146,5993,Southern New Hampshire University,Manchester
146,147,5947,Montana State University,Bozeman
147,148,5393,DePaul University,Chicago
148,149,5122,Santa Clara University,Santa Clara
149,150,6716,The University of Texas MD Anderson Cancer Center,Houston
150,151,5215,Quinnipiac University,Hamden
151,152,5427,Loyola University Chicago,Chicago
152,153,4970,Northern Arizona University,Flagstaff
153,154,5980,"University of Nevada, Las Vegas",Las Vegas
154,155,6533,University of Rhode Island,Kingston
155,156,6392,Oregon Health &amp; Science University,Portland
156,157,5375,University of Idaho,Moscow
157,158,6906,University of Wyoming,Laramie
158,159,7704,United States Military Academy,West Point
159,160,6723,The University of Texas at Dallas,Richardson
160,161,5024,"California Polytechnic State University, San Luis Obispo",San Luis Obispo
161,162,5613,University of Louisville,Louisville
162,163,6176,"Binghamton University, State University of New York",Vestal
163,164,6616,Middle Tennessee State University,Murfreesboro
164,165,6498,Swarthmore College,Swarthmore
165,166,6114,The New School,New York City
166,167,5937,University of Missouri-Kansas City,Kansas City
167,168,6252,Wake Forest University,Winston-Salem
168,169,5826,Western Michigan University,Kalamazoo
169,170,5408,Illinois Institute of Technology,Chicago
170,171,5653,The University of Maine,Orono
171,172,7706,"University of Maryland, Baltimore",Baltimore
172,173,6456,Lehigh University,Bethlehem
173,174,6720,The University of Texas at Arlington,Arlington
174,175,6275,Bowling Green State University,Bowling Green
175,176,5881,University of Mississippi,University
176,177,5931,Saint Louis University,St. Louis
177,178,5953,The University of Montana,Missoula
178,179,5037,"California State University, Long Beach",Long Beach
179,180,6753,Middlebury College,Middlebury
180,181,4961,University of Alaska Fairbanks,Fairbanks
181,182,5766,Worcester Polytechnic Institute,Worcester
182,183,6801,University of Richmond,Richmond
183,184,6327,Ohio University,Athens
184,185,5035,"California State University, Fullerton",Fullerton
185,186,5285,Nova Southeastern University,Fort Lauderdale
186,187,6781,James Madison University,Harrisonburg
187,188,5765,Williams College,Williamstown
188,189,6790,Old Dominion University,Norfolk
189,190,6645,Baylor College of Medicine,Houston
190,191,5456,Southern Illinois University Carbondale,Carbondale
191,192,5231,Wesleyan University,Middletown
192,193,5832,Carleton College,Northfield
193,194,5746,Smith College,Northampton
194,195,6725,The University of Texas at San Antonio,San Antonio
195,196,5700,Berklee College of Music,Boston
196,197,6014,New Jersey Institute of Technology,Newark
197,198,6838,Western Washington University,Bellingham
198,199,6629,The University of Memphis,Memphis
199,200,6249,University of North Carolina at Greensboro,Greensboro
200,201,5756,University of Massachusetts Boston,Boston
201,202,5032,"California State University, Chico",Chico
202,203,6343,University of Dayton,Dayton
203,204,6105,Marist College,Poughkeepsie
204,205,5798,Grand Valley State University,Allendale
205,206,6125,Pace University,New York City
206,207,5780,Calvin University,Grand Rapids
207,208,6199,Appalachian State University,Boone
208,209,5335,Kennesaw State University,Kennesaw
209,210,6673,Texas State University,San Marcos
210,211,6193,Vassar College,Poughkeepsie
211,212,5370,Boise State University,Boise
212,213,5159,University of San Francisco,San Francisco
213,214,6417,Bryn Mawr College,Bryn Mawr
214,215,6516,Villanova University,Villanova
215,216,6211,East Carolina University,Greenville
216,217,5106,Pepperdine University,Malibu
217,218,5693,Amherst College,Amherst
218,219,6724,The University of Texas at El Paso,El Paso
219,220,5249,The Catholic University of America,Washington
220,221,5244,Howard University,Washington
221,222,5158,University of San Diego,San Diego
222,223,5707,Clark University,Worcester
223,224,6341,University of Akron,Akron
224,225,5199,University of Colorado Denver,Denver
225,226,5733,Mount Holyoke College,South Hadley
226,227,6418,Bucknell University,Lewisburg
227,228,6346,University of Toledo,Toledo
228,229,5960,Creighton University,Omaha
229,230,5041,"California State University, Sacramento",Sacramento
230,231,6309,Miami University,Oxford
231,232,6262,North Dakota State University,Fargo
232,233,5758,University of Massachusetts Lowell,Lowell
233,234,6048,Bard College,Annandale-on-Hudson
234,235,5883,University of Southern Mississippi,Hattiesburg
235,236,5029,"California State Polytechnic University, Pomona",Pomona
236,237,4969,Grand Canyon University,Phoenix
237,238,4967,Embry-Riddle Aeronautical University,Daytona Beach
238,239,5614,Western Kentucky University,Bowling Green
239,240,5481,Ball State University,Muncie
240,241,6266,University of North Dakota,Grand Forks
241,242,5046,Chapman University,Orange
242,243,5759,Wellesley College,Wellesley
243,244,5411,Illinois State University,Normal
244,245,6505,Thomas Jefferson University,Philadelphia
245,246,6091,Hofstra University,Hempstead
246,247,6553,Medical University of South Carolina,Charleston
247,248,6012,Montclair State University,Montclair
248,249,6719,University of Texas Southwestern Medical Center,Dallas
